,Date,Max Wind Speed,Avg Cloud Coverage,Humidity,isRain
108,2022-06-17,18.1,43.916666666666664,63.0,0
109,2022-06-18,21.0,59.458333333333336,53.0,0
110,2022-06-19,19.0,17.0,36.0,0
111,2022-06-20,11.6,6.0,37.0,0
112,2022-06-21,8.3,56.583333333333336,58.0,1
113,2022-06-22,7.6,99.875,92.0,1
114,2022-06-23,11.0,65.5,82.0,1
115,2022-06-24,11.6,26.666666666666668,64.0,0
116,2022-06-25,12.1,19.833333333333332,59.0,0
117,2022-06-26,13.9,16.416666666666668,53.0,0
118,2022-06-27,12.3,67.625,71.0,1
119,2022-06-28,13.2,23.166666666666668,45.0,0
120,2022-06-29,11.4,12.416666666666666,51.0,0
121,2022-06-30,8.7,25.625,53.0,1
122,2022-07-01,13.4,12.208333333333334,50.0,0
123,2022-07-02,12.5,70.0,67.0,1
124,2022-07-03,11.2,20.583333333333332,44.0,0
125,2022-07-04,11.0,5.333333333333333,42.0,0
126,2022-07-05,12.1,52.791666666666664,59.0,1
127,2022-07-06,13.4,34.0,57.0,0
128,2022-07-07,9.4,43.625,65.0,0
129,2022-07-08,6.5,85.125,80.0,1
130,2022-07-09,11.6,27.708333333333332,51.0,1
131,2022-07-10,12.1,21.833333333333332,56.0,0
132,2022-07-11,13.6,6.583333333333333,51.0,0
133,2022-07-12,14.8,24.291666666666668,53.0,1
134,2022-07-13,10.7,23.416666666666668,61.0,1
135,2022-07-14,12.1,37.583333333333336,53.0,1
136,2022-07-15,7.8,7.208333333333333,52.0,0
137,2022-07-16,8.9,12.291666666666666,56.0,0
138,2022-07-17,10.5,47.25,71.0,1
139,2022-07-18,11.4,67.625,81.0,1
140,2022-07-19,14.5,44.541666666666664,63.0,1
141,2022-07-20,11.0,16.708333333333332,50.0,0
142,2022-07-21,16.6,31.166666666666668,53.0,0
143,2022-07-22,11.2,21.166666666666668,46.0,0
144,2022-07-23,12.5,6.958333333333333,46.0,0
145,2022-07-24,12.3,19.541666666666668,46.0,0
146,2022-07-25,14.5,43.958333333333336,57.0,1
